,President,year,Approving ,Disapproving ,unsure/no data,f_count,f_name,l_count,l_name,total
82,William J. Clinton,1992.0,,,,80,Bill,1454,Clinton,3442170
83,George Bush,1988.0,,,,4283,George,0,Bush,3340519
84,Ronald Reagan,1980.0,,,,5768,Ronald,116,Reagan,3130096
85,Ronald Reagan,1989.0,,,,4100,Ronald,49,Reagan,3475179
86,Jimmy Carter,1976.0,,,,2480,Jimmy,104,Carter,2754069
87,Jimmy Carter,1981.0,,,,2061,Jimmy,46,Carter,3145554
88,Gerald R. Ford,1973.0,,,,2590,Gerald,0,Ford,2759517
89,Gerald R. Ford,1977.0,,,,2032,Gerald,0,Ford,2882671
90,Richard Nixon,1968.0,,,,33107,Richard,0,Nixon,3160072
91,Lyndon B. Johnson,1962.0,,,,82,Lyndon,11,Johnson,3826131
92,John F. Kennedy,1960.0,,,,76302,John,85,Kennedy,3948284
93,Dwight D. Eisenhower,1952.0,,,,2400,Dwight,0,Eisenhower,3617370
94,Dwight D. Eisenhower,1961.0,,,,1650,Dwight,0,Eisenhower,3929909
95,Harry S. Truman,1944.0,,,,5478,Harry,147,Truman,2537120
96,Harry S. Truman,1953.0,,,,4567,Harry,21,Truman,3665807
97,Franklin D. Roosevelt,1932.0,,,,2756,Franklin,816,Roosevelt,1964421
98,Franklin D. Roosevelt,1933.0,,,,5355,Franklin,1187,Roosevelt,1857674
99,Franklin D. Roosevelt,1934.0,,,,4144,Franklin,985,Roosevelt,1933466
100,Franklin D. Roosevelt,1935.0,,,,2601,Franklin,736,Roosevelt,1946981
101,Franklin D. Roosevelt,1936.0,,,,2933,Franklin,716,Roosevelt,1936249
102,Franklin D. Roosevelt,1937.0,,,,2509,Franklin,652,Roosevelt,1986759
103,Franklin D. Roosevelt,1938.0,,,,1994,Franklin,631,Roosevelt,2068294
104,Franklin D. Roosevelt,1939.0,,,,1829,Franklin,567,Roosevelt,2059878
105,Franklin D. Roosevelt,1940.0,,,,2375,Franklin,608,Roosevelt,2157632
106,Franklin D. Roosevelt,1944.0,,,,1798,Franklin,541,Roosevelt,2537120
107,Franklin D. Roosevelt,1945.0,,,,1874,Franklin,539,Roosevelt,2501963
