,index,Approving ,Disapproving ,End Date ,President,Start Date  ,unsure/no data
1040,1040,50,43,04/25/2013,Barack Obama,04/23/2013,7
1041,1041,51,42,04/24/2013,Barack Obama,04/22/2013,7
1042,1042,48,45,04/23/2013,Barack Obama,04/21/2013,7
1043,1043,51,43,04/22/2013,Barack Obama,04/20/2013,6
1044,1044,50,43,04/21/2013,Barack Obama,04/19/2013,7
1045,1045,53,41,04/20/2013,Barack Obama,04/18/2013,6
1046,1046,51,42,04/19/2013,Barack Obama,04/17/2013,7
1047,1047,51,43,04/18/2013,Barack Obama,04/16/2013,6
1048,1048,49,43,04/17/2013,Barack Obama,04/15/2013,8
1049,1049,49,43,04/16/2013,Barack Obama,04/14/2013,8
1050,1050,50,43,04/15/2013,Barack Obama,04/13/2013,7
1051,1051,48,46,04/14/2013,Barack Obama,04/12/2013,6
1052,1052,48,46,04/13/2013,Barack Obama,04/11/2013,6
1053,1053,48,47,04/12/2013,Barack Obama,04/10/2013,5
1054,1054,50,45,04/11/2013,Barack Obama,04/09/2013,5
1055,1055,49,44,04/10/2013,Barack Obama,04/08/2013,7
1056,1056,49,43,04/09/2013,Barack Obama,04/07/2013,8
1057,1057,49,42,04/08/2013,Barack Obama,04/06/2013,9
1058,1058,48,44,04/07/2013,Barack Obama,04/05/2013,8
1059,1059,49,44,04/06/2013,Barack Obama,04/04/2013,7
1060,1060,48,46,04/05/2013,Barack Obama,04/03/2013,6
1061,1061,48,47,04/04/2013,Barack Obama,04/02/2013,5
1062,1062,47,48,04/03/2013,Barack Obama,04/01/2013,5
1063,1063,48,46,04/02/2013,Barack Obama,03/30/2013,6
1064,1064,47,47,04/01/2013,Barack Obama,03/29/2013,6
1065,1065,48,47,03/30/2013,Barack Obama,03/28/2013,5
1066,1066,46,47,03/29/2013,Barack Obama,03/27/2013,7
1067,1067,48,46,03/28/2013,Barack Obama,03/26/2013,6
1068,1068,49,43,03/27/2013,Barack Obama,03/25/2013,8
1069,1069,49,43,03/26/2013,Barack Obama,03/24/2013,8
1070,1070,48,45,03/25/2013,Barack Obama,03/23/2013,7
1071,1071,47,46,03/24/2013,Barack Obama,03/22/2013,7
1072,1072,48,45,03/23/2013,Barack Obama,03/21/2013,7
1073,1073,47,45,03/22/2013,Barack Obama,03/20/2013,8
1074,1074,47,46,03/21/2013,Barack Obama,03/19/2013,7
1075,1075,46,45,03/20/2013,Barack Obama,03/18/2013,9
1076,1076,48,44,03/19/2013,Barack Obama,03/17/2013,8
1077,1077,50,43,03/18/2013,Barack Obama,03/16/2013,7
1078,1078,49,45,03/17/2013,Barack Obama,03/15/2013,6
1079,1079,47,46,03/16/2013,Barack Obama,03/14/2013,7
1080,1080,47,46,03/15/2013,Barack Obama,03/13/2013,7
1081,1081,48,46,03/14/2013,Barack Obama,03/12/2013,6
1082,1082,48,46,03/13/2013,Barack Obama,03/11/2013,6
1083,1083,49,45,03/12/2013,Barack Obama,03/10/2013,6
1084,1084,49,44,03/11/2013,Barack Obama,03/09/2013,7
1085,1085,49,44,03/10/2013,Barack Obama,03/08/2013,7
1086,1086,50,43,03/09/2013,Barack Obama,03/07/2013,7
1087,1087,49,44,03/08/2013,Barack Obama,03/06/2013,7
1088,1088,49,44,03/07/2013,Barack Obama,03/05/2013,7
1089,1089,47,46,03/06/2013,Barack Obama,03/04/2013,7
1090,1090,48,44,03/05/2013,Barack Obama,03/03/2013,8
1091,1091,49,44,03/04/2013,Barack Obama,03/02/2013,7
1092,1092,46,46,03/03/2013,Barack Obama,03/01/2013,8
1093,1093,46,46,03/02/2013,Barack Obama,02/28/2013,8
1094,1094,47,45,03/01/2013,Barack Obama,02/27/2013,8
1095,1095,51,43,02/28/2013,Barack Obama,02/26/2013,6
1096,1096,51,43,02/27/2013,Barack Obama,02/25/2013,6
1097,1097,53,40,02/26/2013,Barack Obama,02/24/2013,7
1098,1098,51,42,02/25/2013,Barack Obama,02/23/2013,7
1099,1099,51,42,02/24/2013,Barack Obama,02/21/2013,7
1100,1100,50,44,02/23/2013,Barack Obama,02/20/2013,6
1101,1101,52,42,02/22/2013,Barack Obama,02/19/2013,6
1102,1102,50,42,02/20/2013,Barack Obama,02/18/2013,8
1103,1103,51,42,02/19/2013,Barack Obama,02/17/2013,7
1104,1104,51,43,02/18/2013,Barack Obama,02/16/2013,6
1105,1105,52,42,02/17/2013,Barack Obama,02/15/2013,6
1106,1106,50,44,02/16/2013,Barack Obama,02/14/2013,6
1107,1107,50,44,02/15/2013,Barack Obama,02/13/2013,6
1108,1108,50,44,02/14/2013,Barack Obama,02/12/2013,6
1109,1109,51,42,02/13/2013,Barack Obama,02/11/2013,7
1110,1110,52,42,02/12/2013,Barack Obama,02/10/2013,6
1111,1111,52,42,02/11/2013,Barack Obama,02/09/2013,6
1112,1112,52,43,02/10/2013,Barack Obama,02/08/2013,5
1113,1113,52,43,02/09/2013,Barack Obama,02/07/2013,5
1114,1114,52,43,02/08/2013,Barack Obama,02/06/2013,5
1115,1115,52,43,02/07/2013,Barack Obama,02/05/2013,5
1116,1116,52,41,02/06/2013,Barack Obama,02/04/2013,7
1117,1117,52,41,02/05/2013,Barack Obama,02/02/2013,7
1118,1118,52,42,02/04/2013,Barack Obama,02/01/2013,6
1119,1119,52,43,02/02/2013,Barack Obama,01/31/2013,5
1120,1120,54,42,02/01/2013,Barack Obama,01/30/2013,4
1121,1121,53,42,01/31/2013,Barack Obama,01/29/2013,5
1122,1122,53,41,01/30/2013,Barack Obama,01/28/2013,6
1123,1123,51,43,01/29/2013,Barack Obama,01/27/2013,6
1124,1124,52,43,01/28/2013,Barack Obama,01/26/2013,5
1125,1125,52,43,01/27/2013,Barack Obama,01/25/2013,5
1126,1126,52,41,01/26/2013,Barack Obama,01/24/2013,7
1127,1127,51,42,01/25/2013,Barack Obama,01/23/2013,7
1128,1128,52,42,01/24/2013,Barack Obama,01/22/2013,6
1129,1129,52,43,01/23/2013,Barack Obama,01/21/2013,5
1130,1130,53,42,01/22/2013,Barack Obama,01/20/2013,5
1131,1131,51,43,01/21/2013,Barack Obama,01/19/2013,6
1132,1132,50,43,01/20/2013,Barack Obama,01/18/2013,7
1133,1133,51,43,01/19/2013,Barack Obama,01/17/2013,6
1134,1134,48,45,01/18/2013,Barack Obama,01/16/2013,7
1135,1135,49,44,01/17/2013,Barack Obama,01/15/2013,7
1136,1136,50,43,01/16/2013,Barack Obama,01/14/2013,7
1137,1137,53,41,01/15/2013,Barack Obama,01/13/2013,6
1138,1138,52,40,01/14/2013,Barack Obama,01/12/2013,8
1139,1139,52,41,01/13/2013,Barack Obama,01/11/2013,7
1140,1140,51,42,01/12/2013,Barack Obama,01/10/2013,7
1141,1141,53,42,01/11/2013,Barack Obama,01/09/2013,5
1142,1142,54,41,01/10/2013,Barack Obama,01/08/2013,5
1143,1143,56,40,01/09/2013,Barack Obama,01/07/2013,4
1144,1144,56,39,01/08/2013,Barack Obama,01/06/2013,5
1145,1145,54,39,01/07/2013,Barack Obama,01/05/2013,7
1146,1146,54,39,01/06/2013,Barack Obama,01/04/2013,7
1147,1147,52,41,01/05/2013,Barack Obama,01/03/2013,7
1148,1148,52,42,01/04/2013,Barack Obama,12/30/2012,6
1149,1149,50,43,01/03/2013,Barack Obama,12/29/2012,7
1150,1150,53,41,12/30/2012,Barack Obama,12/28/2012,6
1151,1151,53,42,12/29/2012,Barack Obama,12/27/2012,5
1152,1152,54,40,12/28/2012,Barack Obama,12/26/2012,6
1153,1153,53,41,12/27/2012,Barack Obama,12/23/2012,6
1154,1154,56,39,12/26/2012,Barack Obama,12/22/2012,5
1155,1155,57,37,12/23/2012,Barack Obama,12/21/2012,6
1156,1156,57,37,12/22/2012,Barack Obama,12/19/2012,6
1157,1157,58,36,12/21/2012,Barack Obama,12/18/2012,6
1158,1158,56,37,12/19/2012,Barack Obama,12/17/2012,7
1159,1159,54,38,12/18/2012,Barack Obama,12/16/2012,8
1160,1160,52,40,12/17/2012,Barack Obama,12/15/2012,8
1161,1161,50,42,12/16/2012,Barack Obama,12/14/2012,8
1162,1162,50,43,12/15/2012,Barack Obama,12/13/2012,7
1163,1163,50,43,12/14/2012,Barack Obama,12/12/2012,7
1164,1164,51,42,12/13/2012,Barack Obama,12/11/2012,7
1165,1165,54,38,12/12/2012,Barack Obama,12/10/2012,8
1166,1166,54,38,12/11/2012,Barack Obama,12/09/2012,8
1167,1167,53,40,12/10/2012,Barack Obama,12/08/2012,7
1168,1168,51,43,12/09/2012,Barack Obama,12/07/2012,6
1169,1169,50,44,12/08/2012,Barack Obama,12/06/2012,6
1170,1170,50,43,12/07/2012,Barack Obama,12/05/2012,7
1171,1171,49,44,12/06/2012,Barack Obama,12/04/2012,7
1172,1172,50,44,12/05/2012,Barack Obama,12/03/2012,6
1173,1173,52,43,12/04/2012,Barack Obama,12/02/2012,5
1174,1174,53,41,12/03/2012,Barack Obama,12/01/2012,6
1175,1175,54,40,12/02/2012,Barack Obama,11/30/2012,6
1176,1176,52,41,12/01/2012,Barack Obama,11/29/2012,7
1177,1177,50,43,11/30/2012,Barack Obama,11/28/2012,7
1178,1178,51,43,11/29/2012,Barack Obama,11/27/2012,6
1179,1179,49,45,11/28/2012,Barack Obama,11/26/2012,6
1180,1180,51,42,11/27/2012,Barack Obama,11/25/2012,7
1181,1181,51,41,11/26/2012,Barack Obama,11/24/2012,8
1182,1182,53,39,11/25/2012,Barack Obama,11/23/2012,8
1183,1183,51,40,11/24/2012,Barack Obama,11/21/2012,9
1184,1184,50,42,11/23/2012,Barack Obama,11/20/2012,8
1185,1185,50,42,11/21/2012,Barack Obama,11/19/2012,8
1186,1186,51,43,11/20/2012,Barack Obama,11/18/2012,6
1187,1187,53,42,11/19/2012,Barack Obama,11/17/2012,5
1188,1188,52,41,11/18/2012,Barack Obama,11/16/2012,7
1189,1189,53,40,11/17/2012,Barack Obama,11/15/2012,7
1190,1190,52,41,11/16/2012,Barack Obama,11/14/2012,7
1191,1191,52,42,11/15/2012,Barack Obama,11/13/2012,6
1192,1192,52,41,11/14/2012,Barack Obama,11/12/2012,7
1193,1193,53,40,11/13/2012,Barack Obama,11/11/2012,7
1194,1194,52,41,11/12/2012,Barack Obama,11/10/2012,7
1195,1195,52,42,11/11/2012,Barack Obama,11/09/2012,6
1196,1196,51,43,11/10/2012,Barack Obama,11/08/2012,6
1197,1197,52,42,11/09/2012,Barack Obama,11/07/2012,6
1198,1198,49,45,11/08/2012,Barack Obama,11/06/2012,6
1199,1199,49,44,11/07/2012,Barack Obama,11/05/2012,7
1200,1200,50,44,11/06/2012,Barack Obama,11/04/2012,6
1201,1201,52,44,11/05/2012,Barack Obama,11/03/2012,6
1202,1202,52,45,11/04/2012,Barack Obama,11/01/2012,7
1203,1203,51,44,10/28/2012,Barack Obama,10/26/2012,5
1204,1204,48,48,10/27/2012,Barack Obama,10/25/2012,4
1205,1205,46,49,10/26/2012,Barack Obama,10/24/2012,5
1206,1206,48,47,10/25/2012,Barack Obama,10/23/2012,5
1207,1207,51,44,10/24/2012,Barack Obama,10/22/2012,5
1208,1208,53,42,10/23/2012,Barack Obama,10/21/2012,5
1209,1209,51,45,10/22/2012,Barack Obama,10/20/2012,4
1210,1210,49,46,10/21/2012,Barack Obama,10/19/2012,5
1211,1211,49,45,10/20/2012,Barack Obama,10/18/2012,6
1212,1212,49,46,10/19/2012,Barack Obama,10/17/2012,5
1213,1213,50,46,10/18/2012,Barack Obama,10/16/2012,4
1214,1214,50,44,10/17/2012,Barack Obama,10/15/2012,6
1215,1215,49,45,10/16/2012,Barack Obama,10/14/2012,6
1216,1216,49,45,10/15/2012,Barack Obama,10/13/2012,6
1217,1217,48,47,10/14/2012,Barack Obama,10/12/2012,5
1218,1218,48,46,10/12/2012,Barack Obama,10/10/2012,6
1219,1219,50,44,10/11/2012,Barack Obama,10/09/2012,6
1220,1220,52,43,10/10/2012,Barack Obama,10/08/2012,5
1221,1221,53,42,10/09/2012,Barack Obama,10/07/2012,5
1222,1222,53,42,10/08/2012,Barack Obama,10/06/2012,5
1223,1223,51,44,10/07/2012,Barack Obama,10/05/2012,5
1224,1224,48,46,10/06/2012,Barack Obama,10/04/2012,6
1225,1225,50,45,10/05/2012,Barack Obama,10/03/2012,5
1226,1226,52,43,10/04/2012,Barack Obama,10/02/2012,5
1227,1227,54,42,10/03/2012,Barack Obama,10/01/2012,4
1228,1228,50,44,10/02/2012,Barack Obama,09/30/2012,6
1229,1229,48,45,10/01/2012,Barack Obama,09/29/2012,7
1230,1230,47,46,09/30/2012,Barack Obama,09/28/2012,7
1231,1231,46,46,09/29/2012,Barack Obama,09/27/2012,8
1232,1232,48,47,09/28/2012,Barack Obama,09/26/2012,5
1233,1233,50,45,09/27/2012,Barack Obama,09/25/2012,5
1234,1234,50,44,09/26/2012,Barack Obama,09/24/2012,6
1235,1235,51,43,09/25/2012,Barack Obama,09/23/2012,6
1236,1236,50,43,09/24/2012,Barack Obama,09/22/2012,7
1237,1237,51,42,09/23/2012,Barack Obama,09/21/2012,7
1238,1238,51,43,09/22/2012,Barack Obama,09/20/2012,6
1239,1239,47,46,09/21/2012,Barack Obama,09/19/2012,7
1240,1240,47,48,09/20/2012,Barack Obama,09/18/2012,5
1241,1241,46,48,09/19/2012,Barack Obama,09/17/2012,6
1242,1242,48,46,09/18/2012,Barack Obama,09/16/2012,6
1243,1243,49,45,09/17/2012,Barack Obama,09/15/2012,6
1244,1244,50,44,09/16/2012,Barack Obama,09/14/2012,6
1245,1245,50,44,09/15/2012,Barack Obama,09/13/2012,6
1246,1246,49,45,09/14/2012,Barack Obama,09/12/2012,6
1247,1247,49,43,09/13/2012,Barack Obama,09/11/2012,8
1248,1248,49,42,09/12/2012,Barack Obama,09/10/2012,9
1249,1249,51,42,09/11/2012,Barack Obama,09/09/2012,7
1250,1250,50,43,09/10/2012,Barack Obama,09/08/2012,7
1251,1251,50,44,09/09/2012,Barack Obama,09/07/2012,6
1252,1252,50,44,09/08/2012,Barack Obama,09/06/2012,6
1253,1253,52,42,09/07/2012,Barack Obama,09/05/2012,6
1254,1254,52,43,09/06/2012,Barack Obama,09/04/2012,5
1255,1255,49,45,09/05/2012,Barack Obama,09/03/2012,6
1256,1256,47,47,09/04/2012,Barack Obama,09/02/2012,6
1257,1257,45,48,09/03/2012,Barack Obama,09/01/2012,7
1258,1258,45,48,09/02/2012,Barack Obama,08/31/2012,7
1259,1259,43,48,09/01/2012,Barack Obama,08/30/2012,9
1260,1260,45,46,08/31/2012,Barack Obama,08/29/2012,9
1261,1261,45,46,08/30/2012,Barack Obama,08/28/2012,9
1262,1262,44,47,08/29/2012,Barack Obama,08/27/2012,9
1263,1263,43,47,08/28/2012,Barack Obama,08/26/2012,10
1264,1264,43,48,08/27/2012,Barack Obama,08/25/2012,9
1265,1265,45,47,08/26/2012,Barack Obama,08/24/2012,8
1266,1266,45,48,08/25/2012,Barack Obama,08/23/2012,7
1267,1267,46,47,08/24/2012,Barack Obama,08/22/2012,7
1268,1268,47,47,08/23/2012,Barack Obama,08/21/2012,6
1269,1269,47,47,08/22/2012,Barack Obama,08/20/2012,6
1270,1270,46,49,08/21/2012,Barack Obama,08/19/2012,5
1271,1271,45,48,08/20/2012,Barack Obama,08/18/2012,7
1272,1272,47,47,08/19/2012,Barack Obama,08/17/2012,6
1273,1273,47,47,08/18/2012,Barack Obama,08/16/2012,6
1274,1274,45,49,08/17/2012,Barack Obama,08/15/2012,6
1275,1275,44,50,08/16/2012,Barack Obama,08/14/2012,6
1276,1276,44,50,08/15/2012,Barack Obama,08/13/2012,6
1277,1277,45,49,08/14/2012,Barack Obama,08/12/2012,6
1278,1278,45,49,08/13/2012,Barack Obama,08/11/2012,6
1279,1279,45,48,08/12/2012,Barack Obama,08/10/2012,7
1280,1280,43,50,08/11/2012,Barack Obama,08/09/2012,7
1281,1281,43,50,08/10/2012,Barack Obama,08/08/2012,7
1282,1282,43,51,08/09/2012,Barack Obama,08/07/2012,6
1283,1283,46,48,08/08/2012,Barack Obama,08/06/2012,6
1284,1284,47,47,08/07/2012,Barack Obama,08/05/2012,6
1285,1285,47,47,08/06/2012,Barack Obama,08/04/2012,6
1286,1286,46,47,08/05/2012,Barack Obama,08/03/2012,7
1287,1287,45,47,08/04/2012,Barack Obama,08/02/2012,8
1288,1288,45,48,08/03/2012,Barack Obama,08/01/2012,7
1289,1289,45,48,08/02/2012,Barack Obama,07/31/2012,7
1290,1290,45,49,08/01/2012,Barack Obama,07/30/2012,6
1291,1291,46,48,07/31/2012,Barack Obama,07/29/2012,6
1292,1292,46,46,07/30/2012,Barack Obama,07/28/2012,8
1293,1293,47,46,07/29/2012,Barack Obama,07/27/2012,7
1294,1294,48,46,07/28/2012,Barack Obama,07/25/2012,6
1295,1295,47,48,07/27/2012,Barack Obama,07/24/2012,5
1296,1296,47,47,07/25/2012,Barack Obama,07/23/2012,6
1297,1297,45,48,07/24/2012,Barack Obama,07/22/2012,7
1298,1298,44,49,07/23/2012,Barack Obama,07/21/2012,7
1299,1299,44,49,07/22/2012,Barack Obama,07/20/2012,7
1300,1300,46,47,07/21/2012,Barack Obama,07/19/2012,7
1301,1301,46,47,07/20/2012,Barack Obama,07/18/2012,7
1302,1302,47,46,07/19/2012,Barack Obama,07/17/2012,7
1303,1303,46,48,07/18/2012,Barack Obama,07/16/2012,6
1304,1304,46,47,07/17/2012,Barack Obama,07/15/2012,7
1305,1305,47,46,07/16/2012,Barack Obama,07/14/2012,7
1306,1306,47,45,07/15/2012,Barack Obama,07/13/2012,8
1307,1307,46,47,07/14/2012,Barack Obama,07/12/2012,7
1308,1308,45,48,07/13/2012,Barack Obama,07/11/2012,7
1309,1309,45,48,07/12/2012,Barack Obama,07/10/2012,7
1310,1310,45,47,07/11/2012,Barack Obama,07/09/2012,8
1311,1311,45,46,07/10/2012,Barack Obama,07/08/2012,9
1312,1312,44,47,07/09/2012,Barack Obama,07/07/2012,9
1313,1313,45,46,07/08/2012,Barack Obama,07/06/2012,9
1314,1314,46,46,07/07/2012,Barack Obama,07/05/2012,8
1315,1315,47,45,07/06/2012,Barack Obama,07/03/2012,8
1316,1316,45,46,07/05/2012,Barack Obama,07/02/2012,9
1317,1317,45,47,07/03/2012,Barack Obama,07/01/2012,8
1318,1318,46,47,07/02/2012,Barack Obama,06/30/2012,7
1319,1319,46,47,07/01/2012,Barack Obama,06/29/2012,7
1320,1320,48,46,06/30/2012,Barack Obama,06/28/2012,6
1321,1321,47,47,06/29/2012,Barack Obama,06/27/2012,6
1322,1322,47,46,06/28/2012,Barack Obama,06/26/2012,7
1323,1323,46,46,06/27/2012,Barack Obama,06/25/2012,8
1324,1324,45,47,06/26/2012,Barack Obama,06/24/2012,8
1325,1325,48,46,06/25/2012,Barack Obama,06/23/2012,6
1326,1326,47,48,06/24/2012,Barack Obama,06/22/2012,5
1327,1327,51,45,06/23/2012,Barack Obama,06/21/2012,4
1328,1328,46,46,06/22/2012,Barack Obama,06/20/2012,8
1329,1329,45,48,06/21/2012,Barack Obama,06/19/2012,7
1330,1330,43,49,06/20/2012,Barack Obama,06/18/2012,8
1331,1331,46,48,06/19/2012,Barack Obama,06/17/2012,6
1332,1332,45,48,06/18/2012,Barack Obama,06/16/2012,7
1333,1333,46,47,06/17/2012,Barack Obama,06/15/2012,7
1334,1334,45,49,06/16/2012,Barack Obama,06/14/2012,6
1335,1335,45,49,06/15/2012,Barack Obama,06/13/2012,6
1336,1336,44,49,06/14/2012,Barack Obama,06/12/2012,7
1337,1337,46,48,06/13/2012,Barack Obama,06/11/2012,6
1338,1338,48,45,06/12/2012,Barack Obama,06/10/2012,7
1339,1339,49,45,06/11/2012,Barack Obama,06/09/2012,6
1340,1340,50,44,06/10/2012,Barack Obama,06/08/2012,6
1341,1341,48,45,06/09/2012,Barack Obama,06/07/2012,7
1342,1342,47,45,06/08/2012,Barack Obama,06/06/2012,8
1343,1343,46,47,06/07/2012,Barack Obama,06/05/2012,7
1344,1344,45,48,06/06/2012,Barack Obama,06/04/2012,7
1345,1345,46,47,06/05/2012,Barack Obama,06/03/2012,7
1346,1346,46,46,06/04/2012,Barack Obama,06/02/2012,8
1347,1347,47,45,06/03/2012,Barack Obama,06/01/2012,8
1348,1348,46,47,06/02/2012,Barack Obama,05/31/2012,7
1349,1349,46,46,06/01/2012,Barack Obama,05/30/2012,8
1350,1350,45,47,05/31/2012,Barack Obama,05/29/2012,8
1351,1351,47,45,05/30/2012,Barack Obama,05/27/2012,8
1352,1352,47,46,05/29/2012,Barack Obama,05/26/2012,7
1353,1353,49,44,05/27/2012,Barack Obama,05/25/2012,7
1354,1354,48,45,05/26/2012,Barack Obama,05/24/2012,7
1355,1355,48,46,05/25/2012,Barack Obama,05/23/2012,6
1356,1356,47,47,05/24/2012,Barack Obama,05/22/2012,6
1357,1357,48,46,05/23/2012,Barack Obama,05/21/2012,6
1358,1358,47,47,05/22/2012,Barack Obama,05/20/2012,6
1359,1359,48,45,05/21/2012,Barack Obama,05/19/2012,7
1360,1360,48,46,05/20/2012,Barack Obama,05/18/2012,6
1361,1361,48,45,05/19/2012,Barack Obama,05/17/2012,7
1362,1362,46,47,05/18/2012,Barack Obama,05/16/2012,7
1363,1363,48,46,05/17/2012,Barack Obama,05/15/2012,6
1364,1364,47,47,05/16/2012,Barack Obama,05/14/2012,6
1365,1365,46,48,05/15/2012,Barack Obama,05/13/2012,6
1366,1366,45,48,05/14/2012,Barack Obama,05/12/2012,7
1367,1367,46,48,05/13/2012,Barack Obama,05/11/2012,6
1368,1368,46,47,05/12/2012,Barack Obama,05/10/2012,7
1369,1369,48,46,05/11/2012,Barack Obama,05/09/2012,6
1370,1370,49,45,05/10/2012,Barack Obama,05/08/2012,6
1371,1371,48,46,05/09/2012,Barack Obama,05/07/2012,6
1372,1372,47,46,05/08/2012,Barack Obama,05/06/2012,7
1373,1373,46,47,05/07/2012,Barack Obama,05/05/2012,7
1374,1374,47,47,05/06/2012,Barack Obama,05/04/2012,6
1375,1375,46,48,05/05/2012,Barack Obama,05/03/2012,6
1376,1376,48,46,05/04/2012,Barack Obama,05/02/2012,6
1377,1377,50,44,05/03/2012,Barack Obama,05/01/2012,6
1378,1378,51,43,05/02/2012,Barack Obama,04/30/2012,6
1379,1379,49,46,05/01/2012,Barack Obama,04/29/2012,5
1380,1380,48,47,04/30/2012,Barack Obama,04/28/2012,5
1381,1381,47,48,04/29/2012,Barack Obama,04/27/2012,5
1382,1382,48,45,04/28/2012,Barack Obama,04/25/2012,7
1383,1383,48,46,04/27/2012,Barack Obama,04/24/2012,6
1384,1384,49,44,04/26/2012,Barack Obama,04/23/2012,7
1385,1385,50,44,04/24/2012,Barack Obama,04/22/2012,6
1386,1386,50,44,04/23/2012,Barack Obama,04/21/2012,6
1387,1387,50,44,04/22/2012,Barack Obama,04/20/2012,6
1388,1388,47,45,04/21/2012,Barack Obama,04/19/2012,8
1389,1389,46,46,04/20/2012,Barack Obama,04/18/2012,8
1390,1390,46,46,04/19/2012,Barack Obama,04/17/2012,8
1391,1391,47,46,04/18/2012,Barack Obama,04/16/2012,7
1392,1392,47,47,04/17/2012,Barack Obama,04/15/2012,6
1393,1393,46,48,04/16/2012,Barack Obama,04/14/2012,6
1394,1394,45,48,04/15/2012,Barack Obama,04/13/2012,7
1395,1395,47,47,04/14/2012,Barack Obama,04/12/2012,6
1396,1396,48,46,04/13/2012,Barack Obama,04/11/2012,6
1397,1397,49,44,04/12/2012,Barack Obama,04/10/2012,7
1398,1398,48,44,04/11/2012,Barack Obama,04/09/2012,8
1399,1399,45,45,04/10/2012,Barack Obama,04/07/2012,10
1400,1400,44,46,04/09/2012,Barack Obama,04/06/2012,10
1401,1401,45,46,04/07/2012,Barack Obama,04/05/2012,9
1402,1402,47,46,04/06/2012,Barack Obama,04/04/2012,7
1403,1403,50,43,04/05/2012,Barack Obama,04/03/2012,7
1404,1404,49,46,04/04/2012,Barack Obama,04/02/2012,5
1405,1405,48,45,04/03/2012,Barack Obama,04/01/2012,7
1406,1406,48,44,04/02/2012,Barack Obama,03/31/2012,8
1407,1407,47,44,04/01/2012,Barack Obama,03/30/2012,9
1408,1408,46,45,03/31/2012,Barack Obama,03/29/2012,9
1409,1409,43,50,03/30/2012,Barack Obama,03/28/2012,7
1410,1410,44,47,03/29/2012,Barack Obama,03/27/2012,9
1411,1411,46,46,03/28/2012,Barack Obama,03/26/2012,8
1412,1412,48,44,03/27/2012,Barack Obama,03/25/2012,8
1413,1413,47,45,03/26/2012,Barack Obama,03/24/2012,8
1414,1414,46,45,03/25/2012,Barack Obama,03/23/2012,9
1415,1415,47,44,03/24/2012,Barack Obama,03/22/2012,9
1416,1416,48,44,03/23/2012,Barack Obama,03/21/2012,8
1417,1417,47,46,03/22/2012,Barack Obama,03/20/2012,7
1418,1418,46,47,03/21/2012,Barack Obama,03/19/2012,7
1419,1419,46,46,03/20/2012,Barack Obama,03/18/2012,8
1420,1420,49,44,03/19/2012,Barack Obama,03/17/2012,7
1421,1421,49,44,03/18/2012,Barack Obama,03/16/2012,7
1422,1422,46,47,03/17/2012,Barack Obama,03/15/2012,7
1423,1423,43,50,03/16/2012,Barack Obama,03/14/2012,7
1424,1424,44,50,03/15/2012,Barack Obama,03/13/2012,6
1425,1425,45,49,03/14/2012,Barack Obama,03/12/2012,6
1426,1426,48,45,03/13/2012,Barack Obama,03/11/2012,7
1427,1427,47,46,03/12/2012,Barack Obama,03/10/2012,7
1428,1428,49,43,03/11/2012,Barack Obama,03/09/2012,8
1429,1429,47,45,03/10/2012,Barack Obama,03/08/2012,8
1430,1430,48,44,03/09/2012,Barack Obama,03/07/2012,8
1431,1431,48,44,03/08/2012,Barack Obama,03/06/2012,8
1432,1432,48,44,03/07/2012,Barack Obama,03/05/2012,8
1433,1433,44,47,03/06/2012,Barack Obama,03/04/2012,9
1434,1434,43,48,03/05/2012,Barack Obama,03/03/2012,9
1435,1435,45,48,03/04/2012,Barack Obama,03/02/2012,7
1436,1436,48,46,03/03/2012,Barack Obama,03/01/2012,6
1437,1437,48,46,03/02/2012,Barack Obama,02/29/2012,6
1438,1438,47,48,03/01/2012,Barack Obama,02/28/2012,5
1439,1439,46,49,02/29/2012,Barack Obama,02/27/2012,5
1440,1440,45,50,02/28/2012,Barack Obama,02/26/2012,5
1441,1441,43,50,02/27/2012,Barack Obama,02/25/2012,7
1442,1442,45,47,02/26/2012,Barack Obama,02/24/2012,8
1443,1443,44,46,02/25/2012,Barack Obama,02/23/2012,10
1444,1444,45,46,02/24/2012,Barack Obama,02/22/2012,9
1445,1445,45,47,02/23/2012,Barack Obama,02/21/2012,8
1446,1446,45,48,02/22/2012,Barack Obama,02/20/2012,7
1447,1447,45,48,02/21/2012,Barack Obama,02/19/2012,7
1448,1448,44,48,02/20/2012,Barack Obama,02/18/2012,8
1449,1449,44,48,02/19/2012,Barack Obama,02/17/2012,8
1450,1450,46,47,02/18/2012,Barack Obama,02/16/2012,7
1451,1451,46,48,02/17/2012,Barack Obama,02/15/2012,6
1452,1452,46,48,02/16/2012,Barack Obama,02/14/2012,6
1453,1453,43,48,02/15/2012,Barack Obama,02/13/2012,9
1454,1454,45,45,02/14/2012,Barack Obama,02/12/2012,10
1455,1455,45,47,02/13/2012,Barack Obama,02/11/2012,8
1456,1456,46,47,02/12/2012,Barack Obama,02/10/2012,7
1457,1457,45,48,02/11/2012,Barack Obama,02/09/2012,7
1458,1458,48,46,02/10/2012,Barack Obama,02/08/2012,6
1459,1459,48,46,02/09/2012,Barack Obama,02/07/2012,6
1460,1460,49,45,02/08/2012,Barack Obama,02/06/2012,6
1461,1461,47,47,02/07/2012,Barack Obama,02/03/2012,6
1462,1462,46,48,02/06/2012,Barack Obama,02/02/2012,6
